pd_lr,pd_modern_fm,pd_ft_transformer,pd_lgbm_gbdt,pd_lgbm_dart,pd_catboost,pd_average,pd_stack,y
0.00025506976860821903,2.72874331130879e-05,0.0032853554002940655,0.0044508281857402335,0.007572951912887373,0.0007033406285093622,0.002715805554858723,0.03665921191946859,0
0.09194259674548212,0.3364391326904297,0.16873377561569214,0.09336222181550018,0.09593331192801481,0.09230987626974914,0.14645348584414467,0.11684991733614097,0
0.020752386950847284,0.011937886476516724,0.036482665687799454,0.024516248505945342,0.022547566879705747,0.023791828224919622,0.023338097120955695,0.04574424010617743,0
0.8550059746751273,0.912076473236084,0.999249279499054,0.8696872311288695,0.9235615674623141,0.9430453023601354,0.9171043047269308,0.9898742471000171,1
0.10463800224090515,0.06262612342834473,0.11403051018714905,0.09605099829482529,0.09760345188083931,0.09623104691653946,0.09519668882476716,0.0804495746098826,0
0.20718217714735204,0.1421128809452057,0.14235718548297882,0.2948624811308282,0.29823028370885096,0.2648877392675217,0.22493879128045624,0.14059192859277564,0
0.029040167725005804,0.010539826937019825,0.046024762094020844,0.05355473442829338,0.06430645557294591,0.059844122581134154,0.043885011556403314,0.05210030157638917,0
0.9155713954841961,0.9357853531837463,0.9955787062644958,0.983986125720277,0.9851093248239843,0.9903912042326624,0.9677370182848937,0.9913322384751568,1
0.07661152142039816,0.03209898993372917,0.11611644923686981,0.09661333343110048,0.09504054597074127,0.10357035950043283,0.08667519991554529,0.08151564079919536,0
0.39231339194302717,0.4546490013599396,0.24443481862545013,0.3541939584210275,0.29934546703782533,0.3659404311450007,0.35181284475537833,0.2661620807583446,0
0.009635638329806583,0.009968001395463943,0.003924845717847347,0.009660246580216563,0.005746954150861877,0.002723481886905747,0.006943194676850344,0.0370340024427284,0
0.16474210220845348,0.15569724142551422,0.15700815618038177,0.14676405464088368,0.15411463617185306,0.15134736900810797,0.15494559327253235,0.11458472443680992,0
0.5391552546025238,0.1690959632396698,0.1334751397371292,0.47717886794331404,0.4266322999281307,0.3886116175991933,0.3556915238416601,0.16969925932749583,0
0.3064450324454385,0.2504471242427826,0.20470446348190308,0.2213166013113569,0.2332050064924222,0.23486371183417462,0.24183032330134632,0.16958338290737213,1
0.15973780258850437,0.08823123574256897,0.1312357485294342,0.13775366841920866,0.149929201326074,0.14282583974277743,0.13495224939142794,0.09686492991121383,1
0.20516170458219624,0.27917683124542236,0.17836524546146393,0.2724489697599782,0.29067559706775203,0.23039617421958,0.24270408705606542,0.16582484153705185,1
0.014752850141742282,0.002662185812368989,0.002060187980532646,0.020132188950310673,0.024065473170054107,0.017620403114811986,0.013548881528303448,0.03777611518439588,0
0.026590222636437743,0.0315396711230278,0.03941600024700165,0.04736963510305763,0.05575963598058803,0.062456969807858295,0.043855355816328524,0.05047275862493263,0
