pd_lr,pd_lgbm_gbdt,pd_lgbm_dart,pd_catboost,pd_average,pd_stack,y
0.00025506976860821903,0.0044508281857402335,0.007572951912887373,0.0007033406285093622,0.0032455476239362973,0.04048784445367015,0
0.09194259674548212,0.09336222181550018,0.09593331192801481,0.09230987626974914,0.09338700168968656,0.07604653568430697,0
0.020752386950847284,0.024516248505945342,0.022547566879705747,0.023791828224919622,0.0229020076403545,0.046566557996557276,0
0.8550059746751273,0.8696872311288695,0.9235615674623141,0.9430453023601354,0.8978250189066116,0.9725166596172208,1
0.10463800224090515,0.09605099829482529,0.09760345188083931,0.09623104691653946,0.0986308748332773,0.07784165473972002,0
0.20718217714735204,0.2948624811308282,0.29823028370885096,0.2648877392675217,0.26629067031363823,0.2484557935593348,0
0.029040167725005804,0.05355473442829338,0.06430645557294591,0.059844122581134154,0.051686370076844804,0.05909499881119117,0
0.9155713954841961,0.983986125720277,0.9851093248239843,0.9903912042326624,0.96876451256528,0.9839137577992958,1
0.07661152142039816,0.09661333343110048,0.09504054597074127,0.10357035950043283,0.09295894008066818,0.07799638800357024,0
0.39231339194302717,0.3541939584210275,0.29934546703782533,0.3659404311450007,0.3529483121367202,0.34760763199689887,0
0.009635638329806583,0.009660246580216563,0.005746954150861877,0.002723481886905747,0.0069415802369476925,0.04117981854448797,0
0.16474210220845348,0.14676405464088368,0.15411463617185306,0.15134736900810797,0.15424204050732454,0.11230064648062053,0
0.5391552546025238,0.47717886794331404,0.4266322999281307,0.3886116175991933,0.45789451001829046,0.513267529432536,0
0.3064450324454385,0.2213166013113569,0.2332050064924222,0.23486371183417462,0.24895758802084808,0.18973771545284557,1
0.15973780258850437,0.13775366841920866,0.149929201326074,0.14282583974277743,0.1475616280191411,0.10704432259322338,1
0.20516170458219624,0.2724489697599782,0.29067559706775203,0.23039617421958,0.24967061140737662,0.22036192798375356,1
0.014752850141742282,0.020132188950310673,0.024065473170054107,0.017620403114811986,0.01914272884422976,0.04545614616249071,0
0.026590222636437743,0.04736963510305763,0.05575963598058803,0.062456969807858295,0.04804411588198543,0.05759411381038556,0
0.9111779190136252,0.90391974419374,0.9420635477818385,0.9733712887491803,0.932633124934596,0.9778464070667289,1
0.14244267325752924,0.18659230028133625,0.19284862940812386,0.19664433212085836,0.17963198376696193,0.14346750388139443,0
0.0038259096135994358,0.003129896567140327,0.00309648020758397,0.0007996803654705217,0.002712991688448564,0.040069313172699454,0
0.13034138430617745,0.1429011393577652,0.13096361426000733,0.12875274401694248,0.13323972048522312,0.09999877783757695,0
0.9147875330642997,0.9826631030816197,0.982780678352415,0.9934928912664179,0.9684310514411881,0.983903632823282,1
0.09714297713602868,0.08544404537255225,0.08412426625795431,0.09773996253548976,0.09111281282550626,0.07410484206407884,0
0.017923922892027256,0.022538159412994446,0.030359461451741575,0.02372303908641929,0.023636145710795642,0.04703175171008988,0
0.10546835684048027,0.13201735932049852,0.12442018153180363,0.12883507168970046,0.12268524234562073,0.09555879659822297,0
0.27590065346974224,0.21234853951926447,0.20034777578610738,0.2107392477082525,0.22483405412084165,0.16570812034530435,1
0.6608034174486493,0.5043061057091578,0.4971697291978348,0.5494981369035347,0.5529443473147941,0.6733066024804918,0
0.18177857640777048,0.20815260457410617,0.22948737920138124,0.24849014103149872,0.21697717530368912,0.18081355152744347,0
0.16441459034809972,0.15487202400142008,0.15002748851149764,0.1512555229453402,0.1551424064515894,0.11332848363169927,0
0.8700136546754638,0.9739251067087642,0.9853396460974779,0.9760414948223862,0.951329975576023,0.9826108126611708,1
0.0003138250829320721,0.004049504455839115,0.011987231715899419,0.0008954508257499357,0.004311503020105136,0.04083485487413957,0
0.013187600542795533,0.02001740526203062,0.022705902095674982,0.014390648022927955,0.01757538898085727,0.04494133363963417,0
0.023024817827289813,0.028138629712819833,0.03014430495551879,0.012515919966335455,0.023455918115490974,0.04645169939587297,0
0.108250609781174,0.18149251494392168,0.191305869985804,0.13982186605828248,0.15521771519229555,0.12351968139696752,0
0.14547533671785076,0.17758303478882934,0.1575410013357191,0.16308465132905117,0.16092100604286258,0.12284119076111637,1
0.0008124470498459106,0.007719188660586395,0.018630225836782043,0.003679947142993615,0.007710452172551991,0.04202588081340482,0
0.00990376306277251,0.010432530546607229,0.013880409618914024,0.009101467125651316,0.01082954258848627,0.04259084066650312,0
0.07662081494568655,0.07606963978779015,0.08013008288807251,0.08917996818767027,0.08050012645230487,0.07001796708147655,0
0.05798909502599238,0.06871372425572234,0.08693776946466442,0.06574703156738593,0.06984690507844127,0.06559841677903291,1
